11/03/22,08:41,24.4*C,57.9%
11/03/22,08:41,24.5*C,55.0%
11/03/22,08:42,24.6*C,45.3%
11/03/22,08:42,24.5*C,44.4%
11/03/22,08:43,24.4*C,44.4%
11/03/22,08:55,24.3*C,44.6%
11/03/22,08:55,24.1*C,44.2%
11/03/22,08:55,24.1*C,44.1%
11/03/22,08:55,24.0*C,44.2%
11/03/22,08:56,24.0*C,44.2%
11/03/22,08:56,24.0*C,44.1%
11/03/22,08:56,24.0*C,43.8%
11/03/22,08:56,24.1*C,44.1%
11/03/22,08:56,24.1*C,44.1%
11/03/22,09:20,25.2*C,42.8%
11/03/22,09:21,25.1*C,42.9%
11/03/22,09:21,25.3*C,42.8%
11/03/22,09:21,25.3*C,42.9%
11/03/22,09:21,25.3*C,43.1%
11/03/22,09:21,25.4*C,43.1%
11/03/22,09:21,25.4*C,43.3%
11/03/22,09:21,25.4*C,43.5%
11/03/22,09:21,25.4*C,43.3%
11/03/22,09:22,25.3*C,43.3%
11/03/22,09:22,25.4*C,43.1%
11/03/22,09:22,25.5*C,43.3%
11/03/22,09:22,25.5*C,43.1%
11/03/22,09:22,25.6*C,43.0%
11/03/22,09:22,25.6*C,42.9%
11/03/22,09:22,25.6*C,43.0%
11/03/22,09:22,25.6*C,42.8%
11/03/22,09:22,25.6*C,43.0%
11/03/22,09:22,25.6*C,42.8%
11/03/22,09:23,25.6*C,42.6%
11/03/22,09:23,25.6*C,42.9%
11/03/22,09:23,25.7*C,42.6%
11/03/22,09:23,25.7*C,42.6%
11/03/22,09:23,25.6*C,42.6%
11/03/22,09:25,25.7*C,42.8%
11/03/22,09:25,25.4*C,42.5%
11/03/22,09:25,25.4*C,42.5%
11/03/22,09:25,25.3*C,42.5%
11/03/22,09:25,25.4*C,42.7%
11/03/22,09:26,25.4*C,47.2%
11/03/22,09:26,25.3*C,49.9%
11/10/22,08:07,1643.8*C,1650.7%
11/10/22,08:07,21.7*C,47.0%
11/10/22,08:07,21.7*C,46.6%
11/10/22,08:07,21.7*C,46.3%
11/10/22,08:07,21.8*C,45.9%
11/10/22,08:07,21.8*C,45.8%
11/10/22,08:07,21.8*C,45.8%
11/10/22,08:07,21.7*C,45.8%
11/10/22,08:07,21.7*C,45.6%
11/10/22,08:08,21.7*C,45.4%
11/10/22,08:08,21.7*C,45.5%
11/10/22,08:08,21.7*C,45.4%
11/10/22,08:08,21.6*C,46.1%
11/10/22,08:08,21.6*C,45.9%
11/10/22,08:08,21.6*C,45.5%
11/10/22,08:08,21.6*C,45.8%
11/10/22,08:08,21.7*C,46.4%
11/10/22,08:08,21.6*C,46.4%
11/10/22,08:08,21.6*C,46.3%
11/10/22,08:09,21.6*C,46.4%
11/10/22,08:09,21.6*C,46.6%
11/10/22,08:09,21.7*C,46.4%
11/10/22,08:09,21.7*C,46.0%
11/10/22,08:09,21.7*C,45.6%
11/10/22,08:09,21.7*C,45.5%
11/10/22,08:09,21.7*C,48.9%
11/10/22,08:09,23.0*C,74.9%
11/10/22,08:09,23.4*C,70.8%
11/10/22,08:09,23.7*C,58.5%
11/10/22,08:10,24.0*C,51.4%
11/10/22,08:10,24.1*C,47.3%
11/10/22,08:10,24.2*C,45.6%
11/10/22,08:10,24.2*C,45.5%
11/10/22,08:10,24.2*C,44.6%
11/10/22,08:10,24.2*C,43.2%
11/10/22,08:10,24.2*C,42.9%
11/10/22,08:10,24.0*C,42.6%
11/10/22,08:10,24.0*C,42.2%
11/10/22,08:10,23.9*C,42.3%
11/10/22,08:11,23.9*C,42.9%
11/10/22,08:11,23.6*C,43.6%
11/10/22,08:11,23.6*C,43.7%
11/10/22,08:11,23.5*C,43.7%
11/10/22,08:11,23.3*C,43.7%
11/10/22,08:11,23.3*C,43.8%
11/10/22,08:11,23.2*C,43.8%
11/10/22,08:11,23.1*C,43.8%
11/10/22,08:11,23.1*C,43.9%
11/10/22,08:12,23.0*C,43.6%
11/10/22,08:12,23.0*C,43.8%
11/10/22,08:12,22.9*C,44.0%
11/10/22,08:12,22.8*C,44.0%
11/10/22,08:12,22.7*C,44.3%
11/10/22,08:12,22.8*C,44.3%
11/10/22,08:12,22.6*C,44.5%
11/10/22,08:12,22.6*C,44.6%
11/10/22,08:12,22.6*C,44.6%
11/10/22,08:13,22.5*C,44.6%
11/10/22,08:13,22.4*C,44.4%
11/10/22,08:13,22.5*C,44.5%
11/10/22,08:13,22.5*C,44.5%
11/10/22,08:13,22.4*C,45.1%
